summary,model,polarity,finegrained,intent,aspects,article_id,article_snippet
"Harry Potter star Daniel Radcliffe gains access to a reported $41.1 million fortune . Young actor says he has no plans to fritter his cash away on fast cars, drink and celebrity parties. His earnings from the first five Potter films have been held in trust fund which has not been able to touch.",t5,"{'label': 'NEGATIVE', 'score': 0.9974161386489868}","{'label': '1 star', 'score': 0.4192040264606476}","{'sequence': 'Harry Potter star Daniel Radcliffe gains access to a reported $41.1 million fortune . Young actor says he has no plans to fritter his cash away on fast cars, drink and celebrity parties. His earnings from the first five Potter films have been held in trust fund which has not been able to touch.', 'labels': ['informative', 'warning', 'opinion', 'analysis', 'breaking news'], 'scores': [0.39637914299964905, 0.2597777843475342, 0.1610477864742279, 0.1199486032128334, 0.06284677237272263]}","{'sequence': 'Harry Potter star Daniel Radcliffe gains access to a reported $41.1 million fortune . Young actor says he has no plans to fritter his cash away on fast cars, drink and celebrity parties. His earnings from the first five Potter films have been held in trust fund which has not been able to touch.', 'labels': ['entertainment', 'economy', 'health', 'technology', 'sports', 'politics'], 'scores': [0.5488226413726807, 0.30791422724723816, 0.056195639073848724, 0.04365016892552376, 0.028976162895560265, 0.01444116048514843]}",0,"LONDON, England (Reuters) -- Harry Potter star Daniel Radcliffe gains access to a reported £20 million ($41.1 million) fortune as he turns 18 on Monday, but he insists the money won't cast a spell on ..."
"Mentally ill inmates are housed on the ""forgotten floor"" of a Miami-Dade jail . Judge Steven Leifman says about one-third of all people in jails are mentally iraqiote. Prisoners have no shoes, laces or mattresses.",t5,"{'label': 'NEGATIVE', 'score': 0.9951660633087158}","{'label': '1 star', 'score': 0.5907304883003235}","{'sequence': 'Mentally ill inmates are housed on the ""forgotten floor"" of a Miami-Dade jail . Judge Steven Leifman says about one-third of all people in jails are mentally iraqiote. Prisoners have no shoes, laces or mattresses.', 'labels': ['warning', 'informative', 'analysis', 'opinion', 'breaking news'], 'scores': [0.28716784715652466, 0.25232428312301636, 0.21573269367218018, 0.20202404260635376, 0.04275106266140938]}","{'sequence': 'Mentally ill inmates are housed on the ""forgotten floor"" of a Miami-Dade jail . Judge Steven Leifman says about one-third of all people in jails are mentally iraqiote. Prisoners have no shoes, laces or mattresses.', 'labels': ['health', 'economy', 'technology', 'entertainment', 'politics', 'sports'], 'scores': [0.5922316908836365, 0.1546666920185089, 0.08465895056724548, 0.08306991308927536, 0.043633390218019485, 0.041739322245121]}",1,"Editor's note: In our Behind the Scenes series, CNN correspondents share their experiences in covering news and analyze the stories behind the events. Here, Soledad O'Brien takes users inside a jail w..."
"Drivers who were on the Minneapolis bridge when it collapsed tell harrowing tales of survival . ""I probably had a 30-, 35-foot free fall,"" survivor Gary Babineau tells CNN. Ambulances managed to get 55 people into ambulances in less than two hours.",t5,"{'label': 'POSITIVE', 'score': 0.9940967559814453}","{'label': '1 star', 'score': 0.3031436800956726}","{'sequence': 'Drivers who were on the Minneapolis bridge when it collapsed tell harrowing tales of survival . ""I probably had a 30-, 35-foot free fall,"" survivor Gary Babineau tells CNN. Ambulances managed to get 55 people into ambulances in less than two hours.', 'labels': ['informative', 'warning', 'breaking news', 'opinion', 'analysis'], 'scores': [0.39924538135528564, 0.2228991538286209, 0.15654169023036957, 0.12175792455673218, 0.0995558649301529]}","{'sequence': 'Drivers who were on the Minneapolis bridge when it collapsed tell harrowing tales of survival . ""I probably had a 30-, 35-foot free fall,"" survivor Gary Babineau tells CNN. Ambulances managed to get 55 people into ambulances in less than two hours.', 'labels': ['health', 'economy', 'technology', 'entertainment', 'sports', 'politics'], 'scores': [0.25173887610435486, 0.2352488934993744, 0.21039025485515594, 0.19523407518863678, 0.05451326444745064, 0.05287462845444679]}",2,"MINNEAPOLIS, Minnesota (CNN) -- Drivers who were on the Minneapolis bridge when it collapsed told harrowing tales of survival. ""The whole bridge from one side of the Mississippi to the other just comp..."
"NEW: Bush is in good humor and will resume his activities at Camp David, spokesman says . Five small polyps were removed from President Bush's colon, and ""none appeared worrisome"" All were small, less than a centimeter [half an inch] in diameter, the White House says. Bush reclaimed presidential power at 9:21 p.m. after about two hours ; Vice President Dick Cheney reads and plays with his dogs.",t5,"{'label': 'POSITIVE', 'score': 0.5579879879951477}","{'label': '4 stars', 'score': 0.2750949263572693}","{'sequence': 'NEW: Bush is in good humor and will resume his activities at Camp David, spokesman says . Five small polyps were removed from President Bush\'s colon, and ""none appeared worrisome"" All were small, less than a centimeter [half an inch] in diameter, the White House says. Bush reclaimed presidential power at 9:21 p.m. after about two hours ; Vice President Dick Cheney reads and plays with his dogs.', 'labels': ['breaking news', 'informative', 'opinion', 'analysis', 'warning'], 'scores': [0.6500667333602905, 0.15337611734867096, 0.09058275818824768, 0.06807336956262589, 0.03790104761719704]}","{'sequence': 'NEW: Bush is in good humor and will resume his activities at Camp David, spokesman says . Five small polyps were removed from President Bush\'s colon, and ""none appeared worrisome"" All were small, less than a centimeter [half an inch] in diameter, the White House says. Bush reclaimed presidential power at 9:21 p.m. after about two hours ; Vice President Dick Cheney reads and plays with his dogs.', 'labels': ['health', 'entertainment', 'politics', 'technology', 'economy', 'sports'], 'scores': [0.3648020625114441, 0.2734369933605194, 0.21963076293468475, 0.09311145544052124, 0.02852405421435833, 0.020494701340794563]}",3,"WASHINGTON (CNN) -- Doctors removed five small polyps from President Bush's colon on Saturday, and ""none appeared worrisome,"" a White House spokesman said. The polyps were removed and sent to the Nati..."
"NEW: NFL suspends Atlanta Falcons quarterback without pay . Vick admits to participating in dogfighting ring with co-conspirators in plea deal aft. NFL commissioner: ""Your admitted conduct was not only illegal, but cruel and reprehensible"" Charge is punishable by up to five years in prison, $250,000 fine, 3 years supervised release""",t5,"{'label': 'NEGATIVE', 'score': 0.9979585409164429}","{'label': '1 star', 'score': 0.7550939917564392}","{'sequence': 'NEW: NFL suspends Atlanta Falcons quarterback without pay . Vick admits to participating in dogfighting ring with co-conspirators in plea deal aft. NFL commissioner: ""Your admitted conduct was not only illegal, but cruel and reprehensible"" Charge is punishable by up to five years in prison, $250,000 fine, 3 years supervised release""', 'labels': ['breaking news', 'informative', 'warning', 'analysis', 'opinion'], 'scores': [0.6892963647842407, 0.12825803458690643, 0.09713392704725266, 0.05290347337722778, 0.03240818530321121]}","{'sequence': 'NEW: NFL suspends Atlanta Falcons quarterback without pay . Vick admits to participating in dogfighting ring with co-conspirators in plea deal aft. NFL commissioner: ""Your admitted conduct was not only illegal, but cruel and reprehensible"" Charge is punishable by up to five years in prison, $250,000 fine, 3 years supervised release""', 'labels': ['sports', 'economy', 'entertainment', 'health', 'technology', 'politics'], 'scores': [0.6752545833587646, 0.13080140948295593, 0.056886978447437286, 0.050752535462379456, 0.0483030267059803, 0.038001395761966705]}",4,"(CNN)  -- The National Football League has indefinitely suspended Atlanta Falcons quarterback Michael Vick without pay, officials with the league said Friday. NFL star Michael Vick is set to appear in..."
"Youssif, 5, was doused in gasoline, set on fire outside his home in Baghdad . Mom: ""I was so happy I didn't know what to do with myself"" Children's Burn Foundation agrees to pay for the family to come to the U.S.",t5,"{'label': 'POSITIVE', 'score': 0.6216185688972473}","{'label': '1 star', 'score': 0.5522028207778931}","{'sequence': 'Youssif, 5, was doused in gasoline, set on fire outside his home in Baghdad . Mom: ""I was so happy I didn\'t know what to do with myself"" Children\'s Burn Foundation agrees to pay for the family to come to the U.S.', 'labels': ['informative', 'warning', 'opinion', 'analysis', 'breaking news'], 'scores': [0.4455176889896393, 0.31541281938552856, 0.08274053037166595, 0.08008251339197159, 0.07624636590480804]}","{'sequence': 'Youssif, 5, was doused in gasoline, set on fire outside his home in Baghdad . Mom: ""I was so happy I didn\'t know what to do with myself"" Children\'s Burn Foundation agrees to pay for the family to come to the U.S.', 'labels': ['entertainment', 'economy', 'health', 'technology', 'sports', 'politics'], 'scores': [0.6892296075820923, 0.11135178804397583, 0.07758589833974838, 0.05222751200199127, 0.03789663314819336, 0.03170854225754738]}",5,"BAGHDAD, Iraq (CNN) -- Dressed in a Superman shirt, 5-year-old Youssif held his sister's hand Friday, seemingly unaware that millions of people across the world have been touched by his story. Nearby,..."
"Iraqi women drive to prostitution to put food on the table for their children . ""People shouldn't criticize women, or talk badly about them,"" says mother of three Suha. She says her husband thinks she is cleaning houses when she leaves home. Karima's husband died of lung cancer nine months ago.",t5,"{'label': 'POSITIVE', 'score': 0.9770615696907043}","{'label': '2 stars', 'score': 0.32029473781585693}","{'sequence': 'Iraqi women drive to prostitution to put food on the table for their children . ""People shouldn\'t criticize women, or talk badly about them,"" says mother of three Suha. She says her husband thinks she is cleaning houses when she leaves home. Karima\'s husband died of lung cancer nine months ago.', 'labels': ['opinion', 'informative', 'analysis', 'warning', 'breaking news'], 'scores': [0.4186732769012451, 0.2487470805644989, 0.1567053198814392, 0.14081723988056183, 0.035057131201028824]}","{'sequence': 'Iraqi women drive to prostitution to put food on the table for their children . ""People shouldn\'t criticize women, or talk badly about them,"" says mother of three Suha. She says her husband thinks she is cleaning houses when she leaves home. Karima\'s husband died of lung cancer nine months ago.', 'labels': ['economy', 'health', 'technology', 'entertainment', 'politics', 'sports'], 'scores': [0.7153336405754089, 0.08349219709634781, 0.0664193406701088, 0.06459439545869827, 0.04202646389603615, 0.028133973479270935]}",6,"BAGHDAD, Iraq (CNN) -- The women are too afraid and ashamed to show their faces or have their real names used. They have been driven to sell their bodies to put food on the table for their children --..."
"Tomas Medina Caracas, known popularly as ""El Negro Acacio,"" killed in air attack . He was fugitive from a U.S. drug trafficking indictment in 2002 smuggled cocaine into the United States. Officials say he helped manage the group's extensive cocaine network.",t5,"{'label': 'NEGATIVE', 'score': 0.9676439762115479}","{'label': '1 star', 'score': 0.3374099135398865}","{'sequence': 'Tomas Medina Caracas, known popularly as ""El Negro Acacio,"" killed in air attack . He was fugitive from a U.S. drug trafficking indictment in 2002 smuggled cocaine into the United States. Officials say he helped manage the group\'s extensive cocaine network.', 'labels': ['warning', 'informative', 'analysis', 'breaking news', 'opinion'], 'scores': [0.3254365921020508, 0.32508406043052673, 0.1669013351202011, 0.10371121019124985, 0.07886681705713272]}","{'sequence': 'Tomas Medina Caracas, known popularly as ""El Negro Acacio,"" killed in air attack . He was fugitive from a U.S. drug trafficking indictment in 2002 smuggled cocaine into the United States. Officials say he helped manage the group\'s extensive cocaine network.', 'labels': ['technology', 'economy', 'entertainment', 'health', 'politics', 'sports'], 'scores': [0.29116111993789673, 0.21917538344860077, 0.15957187116146088, 0.1546064019203186, 0.09335123002529144, 0.08213396370410919]}",7,"BOGOTA, Colombia (CNN) -- A key rebel commander and fugitive from a U.S. drug trafficking indictment was killed over the weekend in an air attack on a guerrilla encampment, the Colombian military said..."
"NEW: President Bush says he will ""sadly accept"" Tony Snow's resignation . Snow, who is undergoing treatment for cancer, will be replaced by Dana Perino, the White House announces. ""I love you, and I wish you all the best,"" Bush tells Snow.",t5,"{'label': 'POSITIVE', 'score': 0.9983559250831604}","{'label': '5 stars', 'score': 0.23605188727378845}","{'sequence': 'NEW: President Bush says he will ""sadly accept"" Tony Snow\'s resignation . Snow, who is undergoing treatment for cancer, will be replaced by Dana Perino, the White House announces. ""I love you, and I wish you all the best,"" Bush tells Snow.', 'labels': ['breaking news', 'informative', 'opinion', 'analysis', 'warning'], 'scores': [0.8314390182495117, 0.06144171953201294, 0.04383910819888115, 0.03218773379921913, 0.031092412769794464]}","{'sequence': 'NEW: President Bush says he will ""sadly accept"" Tony Snow\'s resignation . Snow, who is undergoing treatment for cancer, will be replaced by Dana Perino, the White House announces. ""I love you, and I wish you all the best,"" Bush tells Snow.', 'labels': ['health', 'politics', 'entertainment', 'technology', 'sports', 'economy'], 'scores': [0.6762853860855103, 0.26044878363609314, 0.027821118012070656, 0.015544263646006584, 0.010634113103151321, 0.009266330860555172]}",8,"WASHINGTON (CNN) -- White House press secretary Tony Snow, who is undergoing treatment for cancer, will step down from his post September 14 and be replaced by deputy press secretary Dana Perino, the ..."
"NEW: Launcher is no longer operable and not considered a hazard to public safety, police say . New York University law school says object was brown, had handle, strap, was 3 to 4 feet long. The 20-year-old AT4 anti-tank rocket launcher tube was found on Niranjan Desai's lawn Friday morning.",t5,"{'label': 'NEGATIVE', 'score': 0.9944992065429688}","{'label': '1 star', 'score': 0.6359849572181702}","{'sequence': ""NEW: Launcher is no longer operable and not considered a hazard to public safety, police say . New York University law school says object was brown, had handle, strap, was 3 to 4 feet long. The 20-year-old AT4 anti-tank rocket launcher tube was found on Niranjan Desai's lawn Friday morning."", 'labels': ['breaking news', 'informative', 'opinion', 'analysis', 'warning'], 'scores': [0.337053120136261, 0.22753581404685974, 0.22145015001296997, 0.11866014450788498, 0.0953008234500885]}","{'sequence': ""NEW: Launcher is no longer operable and not considered a hazard to public safety, police say . New York University law school says object was brown, had handle, strap, was 3 to 4 feet long. The 20-year-old AT4 anti-tank rocket launcher tube was found on Niranjan Desai's lawn Friday morning."", 'labels': ['technology', 'health', 'economy', 'entertainment', 'politics', 'sports'], 'scores': [0.4017077386379242, 0.23214051127433777, 0.17785696685314178, 0.07022784650325775, 0.06773566454648972, 0.05033130198717117]}",9,"(CNN) -- Police and FBI agents are investigating the discovery of an empty rocket launcher tube on the front lawn of a Jersey City, New Jersey, home, FBI spokesman Sean Quinn said. Niranjan Desai disc..."
